[0.000000] (-) TimerEvent: {}
[0.000384] (-) JobUnselected: {'identifier': 'ICM20948'}
[0.000615] (-) JobUnselected: {'identifier': 'bno055'}
[0.000636] (-) JobUnselected: {'identifier': 'diagnostic_aggregator'}
[0.000655] (-) JobUnselected: {'identifier': 'diagnostic_common_diagnostics'}
[0.000672] (-) JobUnselected: {'identifier': 'diagnostic_updater'}
[0.000689] (-) JobUnselected: {'identifier': 'diagnostics'}
[0.000710] (-) JobUnselected: {'identifier': 'foxglove_bridge'}
[0.000752] (-) JobUnselected: {'identifier': 'geodesy'}
[0.000770] (-) JobUnselected: {'identifier': 'geographic_info'}
[0.000785] (-) JobUnselected: {'identifier': 'geographic_msgs'}
[0.000798] (-) JobUnselected: {'identifier': 'imu_complementary_filter'}
[0.000812] (-) JobUnselected: {'identifier': 'imu_filter_madgwick'}
[0.000825] (-) JobUnselected: {'identifier': 'imu_tools'}
[0.000839] (-) JobUnselected: {'identifier': 'joy'}
[0.000852] (-) JobUnselected: {'identifier': 'joy_linux'}
[0.000865] (-) JobUnselected: {'identifier': 'nmea_msgs'}
[0.000878] (-) JobUnselected: {'identifier': 'ntrip_client'}
[0.000891] (-) JobUnselected: {'identifier': 'ntrip_client_node'}
[0.000904] (-) JobUnselected: {'identifier': 'rtcm_msgs'}
[0.000918] (-) JobUnselected: {'identifier': 'rviz_imu_plugin'}
[0.000931] (-) JobUnselected: {'identifier': 'sdl2_vendor'}
[0.000944] (-) JobUnselected: {'identifier': 'self_test'}
[0.000957] (-) JobUnselected: {'identifier': 'spacenav'}
[0.000970] (-) JobUnselected: {'identifier': 'ublox'}
[0.000983] (-) JobUnselected: {'identifier': 'ublox_dgnss'}
[0.000996] (-) JobUnselected: {'identifier': 'ublox_dgnss_node'}
[0.001009] (-) JobUnselected: {'identifier': 'ublox_gps'}
[0.001022] (-) JobUnselected: {'identifier': 'ublox_msgs'}
[0.001035] (-) JobUnselected: {'identifier': 'ublox_nav_sat_fix_hp_node'}
[0.001049] (-) JobUnselected: {'identifier': 'ublox_serialization'}
[0.001062] (-) JobUnselected: {'identifier': 'ublox_ubx_interfaces'}
[0.001075] (-) JobUnselected: {'identifier': 'ublox_ubx_msgs'}
[0.001091] (robot_localization) JobQueued: {'identifier': 'robot_localization', 'dependencies': OrderedDict([('diagnostic_updater', '/home/pi/wow_ws/install/diagnostic_updater'), ('geographic_msgs', '/home/pi/wow_ws/install/geographic_msgs')])}
[0.001115] (robot_localization) JobStarted: {'identifier': 'robot_localization'}
[0.078733] (robot_localization) JobProgress: {'identifier': 'robot_localization', 'progress': 'cmake'}
